Company_name,website,location
Nxus,https://nxus.eu/,"Amsterdam Netherlands (HQ), Blaricum Netherlands (founding location)"
Medal,https://www.medal.tv/,Naarden Netherlands (HQ)
Wattsun,https://www.wattsun.net/,Arnhem Netherlands (HQ)
Sponsh,https://sponsh.co/,"Eindhoven Netherlands (HQ), Ericeira Portugal, Leeuwarden Netherlands (founding location)"
Trunkrs,https://www.trunkrs.nl/,Utrecht Netherlands (HQ)
CodeSandbox,https://codesandbox.io/,Amsterdam Netherlands (HQ)
Reynen Court,https://www.reynencourt.com/,Amsterdam Netherlands (HQ)
Signaturit,https://www.signaturit.com/,"Barcelona Spain (HQ), Netherlands"
Apoc aviation,https://www.apocaviation.com/,Berkel en Rodenrijs Netherlands (HQ)
"Eagle Eye Networks, Inc",https://www.een.com/,"Austin United States (HQ), Austin Canada, Amsterdam Netherlands"
DesignBro,https://designbro.com/,Amsterdam Netherlands (HQ)
ZIVVER,https://www.zivver.com/,Amsterdam Netherlands (HQ)
Appwiki,https://appwiki.nl/,Groningen Netherlands (HQ)
Local Heroes,https://www.localheroesonline.com/,Amsterdam Netherlands (HQ)
Verdify,https://www.verdify.tech/,"Wageningen Netherlands (HQ), Wageningen Netherlands"
Abcam,http://www.abcam.com/,"Cambridge United Kingdom (HQ), Burlingame United States, Pleasanton United States, Eugene United States, Branford United States, Cambridge United States, Cambridge United Kingdom, Rozenburg Netherlands, Rozenburg Netherlands, Hangzhou Shi China, Shanghai China, Chuo City Japan, New Territories Hong Kong, Chuo City Japan, Thebarton Australia"
United Wardrobe,https://unitedwardrobe.com/,Utrecht Netherlands (HQ)
Instant Energy B.V.,https://instantenergy.com.ng/,"Nigeria (HQ), Amsterdam Netherlands"
Silverflow,https://silverflow.co/,Amsterdam Netherlands (HQ)
Widget Brain,https://widgetbrain.com/,Rotterdam Netherlands (HQ)
DHM,https://dehostingmakelaar.nl/,Mijdrecht Netherlands (HQ)
Secash,https://www.secash.nl/,Den Haag Netherlands (HQ)
Am-Flow,https://am-flow.com/,Amsterdam Netherlands (HQ)
BTC Direct,https://btcdirect.eu/,Nijmegen Netherlands (HQ)
Bynd.ai,https://early.bynd.ai/,Utrecht Netherlands (HQ)
Viqal,https://www.viqal.com/,"Amsterdam Netherlands (HQ), Utrecht Netherlands"
Sanquin Plasma Products,https://www.plasmaproducts.com/,Amsterdam Netherlands (HQ)
ONO,https://onomotion.com/,"Berlin Germany (HQ), Amsterdam Netherlands, Berlin Germany, Arequipa Peru"
Tembo 4x4 e-LV B.V.,http://tembo4x4-elv.com/,Bergeijk Netherlands (HQ)
HeatTransformers,http://www.heattransformers.com/,Woerden Netherlands (HQ)
Vitalnext,http://vitalnext.com/,Leiden Netherlands (HQ)
Webpower,https://webpower-group.com/,Barneveld Netherlands (HQ)
AMP Groep,https://www.ampgroep.nl/,Houten Netherlands (HQ)
MessageBird,http://www.messagebird.com/,"Amsterdam Netherlands (HQ), Amsterdam Netherlands, London United Kingdom, Hamburg Germany, Singapore, Shanghai China, Sydney Australia, San Francisco United States"
BIOND Solutions (BI/OND),http://www.gobiond.com/,"Delft Netherlands (HQ), Delft Netherlands"
Globalinter.net,http://globalinter.net/,Amsterdam Netherlands (HQ)
U-Needle,http://www.uneedle.com/,Enschede Netherlands (HQ)
Joonze,https://www.joonze.com/,Blaricum Netherlands (HQ)
Circularise,http://www.circularise.com/,Den Haag Netherlands (HQ)
Cybersprint,https://www.cybersprint.com/,"The Hague Netherlands (HQ), Den Haag Netherlands"
PeelPioneers,https://peelpioneers.nl/,Son Netherlands (HQ)
Codian Robotics,http://codian-robotics.com/,Ede Netherlands (HQ)
Attendi,https://www.attendi.nl/,Amsterdam Netherlands (HQ)
Karma Shoarma,https://karmashoarma.nl/,Amsterdam Netherlands (HQ)
AIMED,https://www.aimed.nl/,Netherlands (HQ)
Brand New Day,https://www.brandnewday.nl/,"Amsterdam Netherlands (HQ), Amsterdam-Zuidoost Netherlands"
Plotwise,https://www.plotwise.com/,Delft Netherlands (HQ)
Greenbattery,http://green-battery.nl/,Haarlem Netherlands (HQ)
Medishell,http://medishell.com/,Roermond Netherlands (HQ)
ADchieve,https://adchieve.com/,'s-Hertogenbosch Netherlands (HQ)
FarmVent,http://farmvent.com/,Wageningen Netherlands (HQ & founding location)
Textkernel,http://www.textkernel.com/,"Amsterdam Netherlands (HQ), Frankfurt Germany, Paris France"
Tap (Tapperuse),https://www.tickandpay.com/,Amsterdam Netherlands (HQ)
RetailMeNot,http://www.retailmenot.com/,"Austin United States (HQ), Austin Canada, Amsterdam Netherlands"
Finom,https://finom.co/,"Amsterdam Netherlands (HQ), Milan Italy"
Worksuite,https://worksuite.nl/,Amsterdam Netherlands (HQ)
